,nuts_id,ara,araxtil,til_cserv,til_cv,til_zero,mean,median,p90,p10,share_xld,share_cser,share_cv,share_zero,mean_scaled
0,AT11,-4190.0,14580.0,7690.0,-25410.0,-1030.0,-0.555056725771891,-1.0,-1.0,0.0,0.09684104834701802,0.05931480586727472,-0.1500713926982577,-0.006084461516035106,-0.00444045380617511
1,AT12,-9650.0,65950.0,34930.0,-111690.0,1150.0,0.5777227085726508,0.0,0.0,1.0,0.09705473820994744,0.055827290163877386,-0.154848787442047,0.001966759068222197,0.00462178166858121
2,AT21,-2280.0,12790.0,1670.0,-15140.0,-1620.0,3.27245506080493,3.0,1.0,6.0,0.2104866262427283,0.029467152985112904,-0.21474755558291525,-0.025206223644925974,0.02617964048643942
3,AT22,-5030.0,16940.0,8920.0,-28780.0,-2110.0,0.8534900782344721,2.0,0.0,1.0,0.12555314573512577,0.06723689247315037,-0.17821096841402728,-0.01457906979424884,0.006827920625875783
4,AT31,-3580.0,33800.0,14790.0,-51600.0,-550.0,0.23168267060049175,0.0,0.0,1.0,0.11676215156726213,0.0524567643376079,-0.16749738307968864,-0.0017215328251813846,0.0018534613648039377
5,AT32,-700.0,1870.0,-180.0,-1990.0,-400.0,-5.1897357262431,-7.0,-2.0,-6.0,0.35603551618343254,-0.025235182965235588,-0.26720442123656457,-0.06359591198163236,-0.04151788580994481
6,AT33,-800.0,2960.0,150.0,-3540.0,-360.0,-5.217152939224945,-7.0,-3.0,-3.0,0.3516477876755013,0.022147683810501362,-0.33598983344941774,-0.03780563803658492,-0.041737223513799576
7,AT34,-60.0,850.0,360.0,-1160.0,-120.0,-4.336129950326551,-5.0,-1.0,-8.0,0.2924118316268487,0.12589306029579064,-0.37846416382252557,-0.03984072810011377,-0.03468903960261241
8,BG32,2380.0,-3940.0,-62580.0,70540.0,-1630.0,0.8291353117001563,1.0,0.0,1.0,-0.006158131416730175,-0.09778709200345492,0.10645183849337997,-0.0025066150731948757,0.006633082493601228
9,BG33,8400.0,-3870.0,-99810.0,112800.0,-730.0,0.36184868936095427,1.0,-1.0,2.0,-0.0058684062497317314,-0.14827140886247042,0.1552470669222198,-0.0011072518100175713,0.0028947895148876412
10,BG41,40760.0,3410.0,-20720.0,59500.0,-1420.0,-2.8154134111337896,-3.0,-4.0,-2.0,0.012942919378982815,-0.2717100794965382,0.270982424519171,-0.012215264401615574,-0.022523307289070316
11,BG42,17860.0,-860.0,-65990.0,84400.0,320.0,1.5643976859569477,1.0,0.0,4.0,-0.006107234790446461,-0.21067658316165355,0.21592131236714868,0.0008625055849514189,0.012515181487655569
12,CZ02,-10990.0,-3110.0,-5990.0,6380.0,-8270.0,0.29432304409587573,1.0,0.0,0.0,-0.005872183277271788,-0.0058898457926310765,0.02855952272865725,-0.016797493658754357,0.002354584352767003
13,CZ03,-15370.0,6480.0,-4120.0,-17890.0,160.0,1.2505551778846211,2.0,1.0,1.0,0.015152718855301275,-0.0013773635186957733,-0.014623336185253244,0.0008479808486477388,0.010004441423076965
14,CZ04,-2630.0,-1420.0,-15890.0,14440.0,230.0,0.22675848631610052,1.0,-1.0,0.0,-0.007039113965489695,-0.07954591364360247,0.08504779214662089,0.001537235462471264,0.0018140678905287921
15,CZ05,-2720.0,-5090.0,4880.0,-4010.0,1500.0,-0.013078389688985226,0.0,0.0,-1.0,-0.013084912376030555,0.014944896105882344,-0.005888032218005046,0.004028048488153262,-0.00010462711751188514
16,CZ06,-2800.0,3830.0,-8610.0,5240.0,-3250.0,0.14107533386098225,0.0,0.0,0.0,0.00654080662771914,-0.012885421114442297,0.011746036857508524,-0.005401422370785407,0.0011286026708878516
17,CZ07,-6100.0,430.0,-15350.0,7570.0,1240.0,1.3571152700014295,2.0,-1.0,2.0,0.0021620507810105917,-0.04675972656262001,0.0397433867891831,0.004854288992426398,0.01085692216001144
18,CZ08,-5940.0,-1640.0,6200.0,-11500.0,1010.0,0.4197243552335408,1.0,-2.0,1.0,-0.012229767070892801,0.0635200926335315,-0.060024989309935384,0.00873466374729667,0.0033577948418683223
19,EE00,46520.0,-44330.0,97200.0,-38120.0,31760.0,-3.0917250925778603,-4.0,-3.0,-2.0,-0.08304856124010271,0.13254153340163166,-0.09129298465164476,0.041800012490115876,-0.024733800740622897
20,FR10,13930.0,-19550.0,16230.0,-1090.0,18340.0,2.750866827158262,3.0,3.0,1.0,-0.036127623334725606,0.01917339408266877,-0.014883719255868066,0.03183794850792487,0.022006934617266105
21,FR21,18470.0,-55880.0,130130.0,-81220.0,25430.0,2.2979468124729863,3.0,1.0,3.0,-0.04588681158049615,0.09745145267621746,-0.0715848392188772,0.020020198123155846,0.018383574499783895
22,FR22,24480.0,-28460.0,93100.0,-53840.0,13670.0,3.0345563396851674,3.0,2.0,3.0,-0.024494765092869665,0.07035262420975191,-0.05660131551220271,0.010743456395320487,0.02427645071748133
23,FR23,-21020.0,-26680.0,39890.0,-44550.0,10320.0,1.6420921419984325,3.0,-1.0,3.0,-0.04342688423710499,0.07763783094712873,-0.05334955524104279,0.019138608531018987,0.013136737135987453
24,FR24,-37320.0,-146140.0,68670.0,-11280.0,51420.0,3.0378891278199376,3.0,2.0,3.0,-0.069840250246805,0.03986856482554518,0.003956364709285509,0.02601532071197437,0.024303113022559497
25,FR25,28560.0,-46410.0,13840.0,29770.0,31370.0,1.662783637402356,2.0,-2.0,3.0,-0.07297213673659153,0.01382898881266087,0.01749127333685807,0.04165187458707267,0.013302269099218833
26,FR26,-3550.0,-73070.0,111880.0,-62110.0,19760.0,1.8719177415987929,3.0,0.0,3.0,-0.07101544768159536,0.11091863425587528,-0.05932175926093336,0.019418572686653434,0.014975341932790348
27,FR30,30510.0,-13280.0,28030.0,-10490.0,26230.0,0.315431407512051,1.0,0.0,0.0,-0.021167147908466646,0.03363722592865734,-0.04790458763765493,0.03543450961746425,0.0025234512600964265
28,FR41,32500.0,-28050.0,97700.0,-48210.0,11050.0,-2.7493988121777875,-3.0,-4.0,-2.0,-0.0418975145385807,0.11817105853069132,-0.09045471442712749,0.014181170435016873,-0.021995190497422296
29,FR42,3660.0,-12660.0,18300.0,-4770.0,2780.0,1.287303427021726,2.0,0.0,1.0,-0.053284092478613376,0.07370032728523007,-0.03168024573865136,0.011264010932034618,0.010298427416173789
30,FR43,7830.0,-21110.0,26840.0,-6360.0,8440.0,-0.8063458051218504,-2.0,-2.0,2.0,-0.07973407190365892,0.0858349952434205,-0.033988971777763,0.027888048438001425,-0.006450766440974781
31,FR51,-26310.0,-221680.0,97310.0,23950.0,74110.0,2.7922081574172637,3.0,2.0,4.0,-0.13178451869041727,0.06330025921098847,0.021836035946922572,0.04664822353250623,0.022337665259338113
32,FR52,13740.0,-210710.0,71830.0,91780.0,60840.0,3.85605097509287,5.0,1.0,4.0,-0.14279421451170585,0.04640748294284322,0.05627507803232523,0.04011165353653744,0.030848407800742966
33,FR53,-41280.0,-127690.0,150630.0,-100750.0,36530.0,1.5388793027281338,2.0,2.0,2.0,-0.08443375026834823,0.11535441970328209,-0.05765901946318863,0.026738350028254778,0.012311034421825073
34,FR61,-74590.0,-132000.0,86480.0,-31850.0,2780.0,0.43699897148709965,2.0,-2.0,1.0,-0.13601279284105228,0.1258658483139453,0.003777192395408524,0.006369752131698436,0.0034959917718968003
35,FR62,-105830.0,-253340.0,141410.0,-6180.0,12280.0,1.525988160348021,1.0,1.0,3.0,-0.14252369169405033,0.11448041262674419,0.01791829445901766,0.010124984608288472,0.012207905282784176
36,FR63,59100.0,-3330.0,27260.0,32450.0,2720.0,-0.809317234536195,-3.0,-2.0,3.0,-0.10791509691065315,0.06473994281958387,0.03775155707318972,0.005423597017879506,-0.006474537876289543
37,FR71,-57480.0,-101450.0,38090.0,2810.0,3060.0,0.02394120471228689,-1.0,-1.0,2.0,-0.1425969355914244,0.0753067572420945,0.05939639750518466,0.007893780844145236,0.00019152963769830667
38,FR72,36350.0,-20990.0,28110.0,18660.0,10570.0,0.23050046140309632,1.0,-2.0,1.0,-0.06334724196515368,0.0389814903899835,0.008481917288168883,0.015883834287001315,0.0018440036912247826
39,FR81,-8920.0,-44730.0,21570.0,8540.0,5680.0,0.48387537630929955,0.0,1.0,1.0,-0.16178047890350966,0.09295918574238154,0.04544603658863838,0.023375256572489702,0.003871003010474383
40,FR82,-20010.0,-48050.0,21370.0,1070.0,5580.0,-1.123744063191367,-1.0,-1.0,-1.0,-0.20885101670119038,0.12515260667173667,0.05234235393353204,0.03135605609592165,-0.008989952505530918
41,FR83,900.0,-3630.0,1370.0,2540.0,600.0,-1.0563261999890585,-2.0,-1.0,0.0,-0.34683930403797797,0.10885682712583022,0.19266375742814293,0.04531871948400483,-0.008450609599912479
42,HR03,280.0,-1440.0,850.0,7790.0,-6910.0,-0.6881651419687387,-1.0,0.0,-1.0,-0.03898405058904483,0.02217830888967498,0.19935234408344993,-0.18254660238408016,-0.005505321135749919
43,HR04,-13890.0,4530.0,14810.0,-26480.0,-6740.0,-0.07504937357845165,-1.0,-1.0,1.0,0.0060128967514882364,0.01809930155272723,-0.016336945119862945,-0.007775253184352548,-0.0006003949886276005
44,LU00,-20.0,10.0,500.0,-1530.0,1000.0,-1.0613656465218355,-2.0,-2.0,1.0,0.0002168753708272353,0.008147633471775495,-0.024501035713913932,0.016136526871311244,-0.008490925172174674
45,NL11,-900.0,2200.0,3860.0,-7420.0,470.0,4.2144001229818,4.0,2.0,6.0,0.021582052290534934,0.03739439122989363,-0.06341487183437933,0.0044384283139508665,0.03371520098385439
46,NL12,3200.0,8170.0,350.0,-5550.0,240.0,2.5341570175742447,5.0,0.0,4.0,0.12473815354886891,0.0012340947755346,-0.12951729597321993,0.003545047648816373,0.020273256140593943
47,NL13,3770.0,7690.0,-270.0,-3400.0,-250.0,6.154704829570392,8.0,1.0,7.0,0.0687000151154617,-0.010185960454681786,-0.055748776998850724,-0.0027652776619292675,0.049237638636563136
48,NL21,8140.0,14300.0,480.0,-6610.0,-30.0,2.7462064781741446,5.0,-1.0,6.0,0.14509052533699351,-0.0002219887101123988,-0.14411154722544361,-0.0007569894014373842,0.021969651825393177
49,NL22,3500.0,10670.0,1970.0,-9190.0,50.0,1.4842246467099471,2.0,-1.0,4.0,0.10561318360614136,0.01905032063482768,-0.12502159526807421,0.00035809102710511204,0.01187379717367959
50,NL23,1470.0,1100.0,970.0,-680.0,60.0,7.189004293009162,8.0,6.0,6.0,0.011222442046936482,0.010016395230780406,-0.021819224908394497,0.0005803876306775639,0.057512034344073315
51,NL31,-920.0,510.0,-90.0,-1360.0,20.0,0.14710720705431868,-2.0,-2.0,5.0,0.07645041391782081,0.0015552120703514055,-0.08015774002163006,0.0021521140334578182,0.001176857656434549
52,NL32,1790.0,170.0,1370.0,50.0,200.0,3.2249720962392985,3.0,2.0,3.0,-0.004921050158774809,0.01596843980639269,-0.013361679057716569,0.002314289410098716,0.02579977676991438
53,NL33,-4430.0,-1520.0,430.0,-3440.0,110.0,0.8697601966690343,1.0,0.0,0.0,-0.008818300888534802,0.011850685501793252,-0.0053529625528787594,0.002320577939620331,0.006958081573352287
54,NL34,1720.0,-2190.0,2060.0,1970.0,-120.0,1.0353453076659207,1.0,4.0,-2.0,-0.023463768333809365,0.018699191065812137,0.00613590695670041,-0.0013713296887031493,0.008282762461327364
55,NL41,-7010.0,310.0,-1260.0,-5930.0,-120.0,2.9983179765298758,5.0,0.0,3.0,0.013722332307767371,-0.0048869404437892824,-0.008383192200424383,-0.00045219966355362646,0.023986543812239025
56,NL42,-4240.0,-3030.0,2530.0,-3630.0,-120.0,4.04948936963774,6.0,1.0,4.0,-0.02706319638489335,0.046608927010799384,-0.018225082443407703,-0.001320648182498406,0.03239591495710192
57,PT11,-15070.0,-3220.0,6550.0,-18480.0,70.0,0.08743932247776343,0.0,-1.0,0.0,0.004974023382703419,0.03920614823202462,-0.044721893437607685,0.0005417218228797791,0.0006995145798220914
58,PT15,4020.0,2150.0,3500.0,-1860.0,230.0,-1.0295333188312554,-1.0,0.0,-2.0,-0.019999983004628685,0.127088327494007,-0.11540706888478922,0.00831872439541091,-0.008236266550650045
59,PT16,-27340.0,140.0,21490.0,-47380.0,-1600.0,0.5298462000711197,1.0,1.0,0.0,0.026900118572278392,0.12659220680923927,-0.1467435772742608,-0.006748748107256843,0.004238769600568959
60,PT17,-5910.0,-2000.0,9930.0,-11030.0,-2800.0,0.17759383062335132,0.0,-1.0,1.0,-0.02894427772959779,0.3130576732574468,-0.2163308078150759,-0.0677825877127731,0.0014207506449868124
61,PT18,-95320.0,-59000.0,180290.0,-205870.0,-10760.0,0.006674466256384903,0.0,1.0,0.0,-0.04211961987732532,0.332030229863017,-0.27733280081664635,-0.012577809169045266,5.339573005105902e-05
62,RO11,-3730.0,-96430.0,9570.0,4740.0,78390.0,-2.5446130119545103,-4.0,-2.0,-1.0,-0.1210235096689824,0.012156209222997719,0.009376106611928559,0.09949119383405622,-0.02035690409563609
63,RO12,-34370.0,-7230.0,7600.0,-36820.0,2070.0,-1.8907728547487466,-3.0,-1.0,-1.0,-0.007612181296114198,0.01764696407654963,-0.0248557273150819,0.014820944534646469,-0.015126182837989971
64,RO21,-27090.0,26210.0,3450.0,-83910.0,27150.0,-0.9917729753776712,-1.0,-2.0,0.0,0.024523454438079434,0.0030609620719657133,-0.05274657223100088,0.025162155720955773,-0.007934183803021355
65,RO22,-84950.0,100500.0,43150.0,-326100.0,97490.0,0.24008156625279753,0.0,0.0,1.0,0.06370339507775807,0.02704613605469027,-0.15164565070383695,0.06089611957138866,0.001920652530022382
66,RO31,-179850.0,162050.0,-4450.0,-345430.0,7980.0,0.8157891752858006,1.0,0.0,2.0,0.10001350365442607,0.0008139695170760394,-0.1084688289582838,0.007641355786781667,0.0065263134022864044
67,RO32,3730.0,2570.0,-490.0,4270.0,-2600.0,0.4692718007685528,0.0,-2.0,3.0,0.03786610155820548,-0.008628182285616607,0.016301409217309937,-0.0455393284898989,0.0037541744061484195
68,RO41,-70340.0,35330.0,3640.0,-104310.0,-5010.0,-2.015354356018946,-3.0,-1.0,-3.0,0.03904121222160539,0.004988352630563721,-0.044898684134797806,0.0008691192826287414,-0.01612283484815158
69,RO42,-96380.0,76550.0,-37660.0,-83950.0,-51310.0,-0.7965094937202082,-1.0,-2.0,0.0,0.09022728400569135,-0.03559319546765539,-0.017871649261673617,-0.036762439276362247,-0.006372075949761663
70,SK01,-1140.0,-4260.0,-9020.0,5610.0,6520.0,-0.5941705878414325,0.0,-1.0,0.0,-0.06172497716227719,-0.13127417016418164,0.09455573235958792,0.09844341496687097,-0.004753364702731466
71,SK02,2510.0,-23000.0,-2390.0,16070.0,11810.0,-1.1704490833108707,-1.0,-3.0,0.0,-0.03139968233265472,-0.003949221142604931,0.01946822307326146,0.015880680401998193,-0.00936359266648698
72,SK03,-850.0,-10850.0,160.0,1160.0,8670.0,-2.613052072721729,-3.0,-3.0,0.0,-0.050943490587781415,0.0012012716753968117,0.008265648802537995,0.04147657010984662,-0.020904416581773833
73,SK04,2480.0,-32940.0,9520.0,15660.0,10230.0,-1.9968632411566603,-3.0,-2.0,-1.0,-0.10057672097403995,0.027918561302091388,0.04193824156872894,0.030719918103219612,-0.015974905929253297
